Laser id,Elevation,Azimuth
1,7.4,-0.025
2,6.399,-0.025
3,5.393,-0.026
4,4.385,-0.026
5,3.372,-2.54
6,2.359,-2.541
7,2.024,2.49
8,1.678,-5.042
9,1.344,-2.541
10,1.009,2.49
11,0.663,-5.042
12,0.328,-2.541
13,-0.011,2.49
14,-0.349,-5.042
15,-0.688,-0.026
16,-1.027,2.49
17,-1.364,-5.042
18,-1.703,-0.026
19,-2.041,4.998
20,-2.379,-2.541
21,-2.717,-0.026
22,-3.054,4.998
23,-3.391,-2.54
24,-3.729,-0.026
25,-4.062,4.997
26,-4.404,-2.54
27,-4.738,2.49
28,-5.069,4.997
29,-5.41,-2.539
30,-5.743,2.49
31,-6.744,2.49
32,-7.74,2.49
33,-8.73,-0.024
34,-9.714,-0.023
35,-10.691,-0.023
36,-11.66,-0.022
37,-12.617,-2.528
38,-13.568,-2.526
39,-14.509,-2.523
40,-15.439,-2.521
